[2026-02-07 02:15:21] Автор: dkolosovskyi@company.ua (ID: 1) | Користувач: dkolosovskyi@company.ua (ID: 1) | Дата в календарі: 2026-02-25 | Дія: створено | Деталі: Тип: sick, Час: None-None, Заголовок: None
[2026-02-09 03:28:51] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-05 | Дія: створено | Деталі: Тип: shift, Час: 12:00:00-19:00:00, Заголовок: None
[2026-02-09 03:29:11] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-06 - 2026-02-07 | Дія: оновлення діапазону | Деталі: Створено: 2, Оновлено: 0, Пропущено: 0. Тип: shift, Час: 15:00:00-22:00:00
[2026-02-09 03:29:25] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-08 | Дія: створено | Деталі: Тип: shift, Час: 16:00:00-22:00:00, Заголовок: None
[2026-02-09 03:35:00] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-03 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:03] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-10 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:06] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-17 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:08] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-24 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:13] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-05 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:16] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-06 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:18] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-07 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:20] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-08 | Дія: видалено | Деталі: Видалено запис у розкладі
[2026-02-09 03:35:32] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-06 | Дія: створено | Деталі: Тип: shift, Час: 12:00:00-19:00:00, Заголовок: None
[2026-02-09 03:35:43] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-07 | Дія: створено | Деталі: Тип: shift, Час: 15:00:00-22:00:00, Заголовок: None
[2026-02-09 03:35:53] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-08 | Дія: створено | Деталі: Тип: shift, Час: 15:00:00-22:00:00, Заголовок: None
[2026-02-09 03:36:16] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-09 | Дія: створено | Деталі: Тип: shift, Час: 16:00:00-22:00:00, Заголовок: None
[2026-02-09 03:36:30] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-10 | Дія: створено | Деталі: Тип: shift, Час: 14:00:00-20:00:00, Заголовок: None
[2026-02-09 03:36:37] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-05 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:36:41] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-12 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:36:44] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-19 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
[2026-02-09 03:36:48] Автор: dkolosovskyi@company.ua (ID: 1) | Співробітник: dkolosovskyi@company.ua (ID: 1) | Дата: 2026-02-26 | Дія: створено | Деталі: Тип: off, Час: None-None, Заголовок: None
